key,status,code,request,budget,creationDate,initialPeriodDate,finalPeriodDate,link,key:epicure,key:chef,published
dish-01,ACCEPTED,AAA-001,Esto es una descripcion de prueba,GBP 200.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-01,chef-01,true
dish-02,DENIED,AAB-002,El misterio de la vida no es un problema a resolver sino una realidad a experimentar,EUR 1300.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-02,chef-02,true
dish-03,PROPOSED,ADC-003,Estar solo no tiene nada que ver con cuantas personas hay alrededor,EUR 2400.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-02,chef-01,false
dish-04,PROPOSED,AEC-005,Sea un hombre o sea más que un hombre. Sea firme con su propósito y firme como una piedra,EUR 2123.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-02,chef-01,true
dish-05,PROPOSED,AAA-005,"El hombre débil se vuelve fuerte cuando no tiene nada, porque sólo entonces puede sentir la locura de la desesperación",EUR 20450.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-01,chef-02,false
dish-06,PROPOSED,ABC-777,Si buscas la perfección nunca estarás contento,GBP 320.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-01,chef-01,false
dish-07,PROPOSED,AHR-125,"Mientras el corazón late, mientras el cuerpo y alma siguen juntos, no puedo admitir que cualquier criatura dotada de voluntad tiene necesidad de perder la esperanza en la vida",EUR 200.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-01,chef-02,false
dish-08,PROPOSED,JJK-155,"No puedo morir aún doctor. Todavía no. Tengo cosas que hacer. Después de todo, tendré una vida entera en la que morir",USD 250.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-02,chef-01,true
dish-09,PROPOSED,KKA-246,Tengo esperanza o podría no vivir,USD 200.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-02,chef-02,false
dish-10,ACCEPTED,PDD-129,"El sol es débil cuando se eleva primero, y cobra fuerza y coraje a medida que avanza el día",USD 1000000.00,2022/01/01 10:11,2023/01/02 00:56,2023/02/03 00:56,https://google.com,epicure-01,chef-02,true
